Andrei Kirilenko,81,3,797,30,3.9,4.4,8.3,3.5,3.3,6.8,0.5,1,1.5,3.5,1.1,4.6,1.8,3.7,5.5,2.7,1.4,1.8,1.9,2,11.8,15.9
Andres Guibert,82,3,22,9.1,1,2,3,1,1.9,2.9,0,0.2,0.2,0.7,0.4,1.1,1.2,1.6,2.8,0.5,0.4,0.1,0.8,1.6,2.7,3.2
Andres Nocioni,79,3,514,23.4,3.8,4.9,8.7,2.6,3,5.6,1.1,2,3.1,1.9,0.4,2.3,0.7,3.8,4.5,1.2,0.4,0.4,1.4,2.7,10.5,10.2
Andrew Bogut,84,5,671,29.1,4.4,3.8,8.2,4.4,3.8,8.2,0,0,0,1.2,1,2.2,2.6,6.4,8.9,2.3,0.6,1.6,1.8,3.2,10,16.8
Andrew Bynum,84,5,418,25.6,4.6,3.6,8.2,4.6,3.6,8.2,0,0,0,2.4,1,3.4,2.4,5.3,7.7,1.2,0.3,1.6,1.5,2.5,11.5,16.2
Andrew DeClercq,82,3,587,16.8,1.9,1.9,3.8,1.9,1.9,3.8,0,0,0,1,0.6,1.6,1.7,2.5,4.2,0.6,0.7,0.5,0.9,3,4.8,7.4
Andrew Gaze,79,1,26,4.9,0.6,1,1.6,0.3,0.4,0.7,0.3,0.6,0.9,0.1,0,0.1,0.1,0.3,0.5,0.4,0.2,0.1,0.3,0.6,1.7,1.6
Andrew Goudelock,75,1,49,9.7,1.6,2.4,4,1,1.3,2.3,0.6,1.1,1.7,0.3,0,0.3,0.1,0.6,0.7,0.5,0.2,0,0.6,0.7,4,2.4
Andrew Harrison,78,1,72,20.5,1.6,3.4,5,1,1.8,2.8,0.6,1.6,2.2,2.1,0.6,2.7,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,6.4
Andrew Lang,83,5,737,20.8,2.4,2.7,5.1,2.4,2.7,5.1,0,0,0,1.2,0.4,1.6,1.6,3.2,4.8,0.6,0.5,1.5,0.9,2.8,6,9.4
Andrew Nicholson,81,3,285,14.3,2.5,2.8,5.3,2.2,2.2,4.4,0.3,0.7,1,0.7,0.2,0.9,0.7,2.3,3,0.4,0.3,0.3,0.7,1.6,6,6.2
Andrew Toney,75,1,468,26.9,6.1,6.1,12.2,5.8,5.6,11.4,0.3,0.6,0.9,3.4,0.9,4.3,0.5,1.7,2.2,4.2,0.8,0.2,3,2.9,15.9,13.2
Andrew Wiggins,80,3,245,36.2,7.3,9,16.3,6.5,7.4,13.9,0.8,1.7,2.5,4.9,1.5,6.4,1.4,2.7,4.1,2.1,1,0.5,2.2,2.2,20.4,15.3
Andris Biedrins,83,5,516,21.6,2.8,1.9,4.7,2.8,1.9,4.7,0,0,0,0.7,0.8,1.5,2.3,4.7,7,0.9,0.6,1.1,0.9,3.2,6.3,12.3
Andy Panko,81,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Rautins,76,1,5,4.8,0.6,0.8,1.4,0.4,0.2,0.6,0.2,0.6,0.8,0.2,0.2,0.4,0,0.2,0.2,0.6,0.2,0,1.4,0,1.6,0.2
Andy Toolson,78,1,60,8.7,1,1.4,2.4,0.7,1,1.7,0.3,0.4,0.7,0.5,0.1,0.6,0.5,0.7,1.2,0.5,0.2,0,0.4,1.2,2.7,2.7
Anfernee Hardaway,79,1,704,33.7,5.7,6.7,12.4,5,5.1,10.1,0.7,1.6,2.3,3.1,0.9,4,1.4,3.1,4.5,5,1.6,0.4,2.5,2.2,15.2,16.6
Ansu Sesay,81,3,127,10.2,1.3,1.6,2.9,1.2,1.5,2.7,0.1,0.1,0.2,0.6,0.3,0.9,0.8,1,1.8,0.5,0.3,0.2,0.5,1.3,3.2,3.6
Antawn Jamison,80,3,1083,34.8,7.1,8.6,15.7,6,6.6,12.6,1.1,2,3.1,3.3,1.2,4.5,2.4,5.2,7.5,1.6,1,0.4,1.6,2.4,18.5,17.6
Anthony Avent,81,3,352,19.1,2.3,3.4,5.7,2.3,3.4,5.7,0,0,0,0.9,0.5,1.4,1.6,2.9,4.5,0.8,0.5,0.6,1.2,2.3,5.6,6.9
Anthony Bennett,80,3,151,12.6,1.7,2.5,4.2,1.4,1.9,3.3,0.2,0.7,0.9,0.8,0.4,1.2,0.9,2.3,3.1,0.5,0.4,0.2,0.7,1.4,4.4,4.9
Anthony Bonner,80,3,318,23.2,2.8,3.1,5.9,2.8,3.1,5.9,0,0.1,0.1,1.4,0.9,2.3,2.2,3.2,5.4,1.4,1.1,0.3,1.4,2.5,6.9,9.6
Anthony Bowie,78,1,461,18.1,2.7,3,5.7,2.6,2.6,5.2,0.1,0.4,0.5,0.8,0.2,1,0.6,1.6,2.2,1.8,0.6,0.2,1,1.5,6.4,7
Anthony Brown,79,3,40,19,1.4,3,4.4,0.8,1.2,2,0.7,1.7,2.4,0.4,0.1,0.5,0.4,2.2,2.6,0.7,0.5,0.2,0.5,1.2,4,4.5
Anthony Carter,73,1,623,19.6,2,2.9,4.9,1.8,2.3,4.1,0.2,0.5,0.7,0.7,0.3,1,0.4,1.7,2.1,3.8,1,0.2,1.5,1.8,4.8,7.3
